timestamp,T1,RH_1,T2,RH_2
0,19.89,47.5966666666667,19.2,44.79
1,19.89,46.6933333333333,19.2,44.7225
2,19.89,46.3,19.2,44.6266666666667
3,19.89,46.0666666666667,19.2,44.59
4,19.89,46.3333333333333,19.2,44.53
5,19.89,46.0266666666667,19.2,44.5
6,19.89,45.7666666666667,19.2,44.5
7,19.856666666666698,45.56,19.2,44.5
8,19.79,45.5975,19.2,44.4333333333333
9,19.856666666666698,46.09,19.23,44.4
10,19.926666666666698,45.8633333333333,19.356666666666698,44.4
11,20.066666666666695,46.3966666666667,19.426666666666698,44.4
12,20.1333333333333,48.0,19.566666666666695,44.4
13,20.26,52.726666666666695,19.73,45.1
14,20.426666666666698,55.8933333333333,19.856666666666698,45.8333333333333
15,20.566666666666695,53.8933333333333,20.033333333333296,46.756666666666696
16,20.73,52.66,20.1666666666667,47.2233333333333
17,20.856666666666698,53.66,20.2,47.0566666666667
18,20.89,51.1933333333333,20.2,46.33
19,20.89,49.8,20.2,46.0266666666667
20,20.89,48.4333333333333,20.2,45.7225
21,20.963333333333296,47.633333333333304,20.26,45.53
22,21.033333333333296,47.063333333333304,20.29,45.2233333333333
23,21.1,46.5966666666667,20.356666666666698,44.9633333333333
24,21.1333333333333,46.06,20.426666666666698,44.76
25,21.2,45.8,20.5,44.76
26,21.29,45.9,20.533333333333296,45.09
27,21.356666666666698,45.826666666666696,20.6666666666667,45.1633333333333
28,21.39,45.69,20.7,45.06
29,21.5,45.3333333333333,20.7,44.9333333333333
30,21.5,45.1266666666667,20.79,44.633333333333304
31,21.533333333333296,44.9666666666667,20.79,44.36
32,21.6,44.7666666666667,20.89,44.2233333333333
33,21.6,44.56,20.963333333333296,43.9633333333333
34,21.6,44.36,21.0,43.8333333333333
35,21.6,44.2,21.0,43.7
36,21.6,44.2,21.0,43.59
37,21.6,44.2,21.0,43.59
38,21.6,44.2,21.0,43.7
39,21.5,44.23,20.926666666666698,43.76
40,21.5,44.3633333333333,20.89,43.845
41,21.39,44.4333333333333,20.79,43.79
42,21.39,44.56,20.79,43.8633333333333
43,21.29,44.826666666666696,20.7,44.0
44,21.29,44.9666666666667,20.6333333333333,44.0
45,21.26,45.09,20.6,44.03
46,21.2,45.09,20.6,44.09
47,21.1666666666667,45.23,20.5,44.1266666666667
48,21.075,45.3725,20.5,44.2
49,21.0,45.4,20.39,44.2
50,21.0,45.59,20.39,44.26
51,20.926666666666698,45.59,20.29,44.29
52,20.89,45.6666666666667,20.23,44.29
53,20.89,46.06,20.2,44.4
54,20.79,46.2,20.2,44.4666666666667
55,20.79,46.2,20.1,44.53
56,20.7,46.26,20.1,44.59
57,20.7,46.2,20.0,44.4333333333333
58,20.6,46.2,20.0,44.5
59,20.6,46.1266666666667,20.0,44.5
60,20.566666666666695,46.0666666666667,19.89,44.59
61,20.5,46.2,19.823333333333295,44.53
62,20.5,46.29,19.79,44.53
63,20.426666666666698,46.23,19.79,44.53
64,20.39,46.29,19.76,44.59
65,20.39,46.3633333333333,19.7,44.59
66,20.29,46.5,19.7,44.7
67,20.29,46.545,19.6333333333333,44.6266666666667
68,20.23,46.5,19.6,44.59
69,20.2,46.4333333333333,19.6,44.59
70,20.2,46.56,19.566666666666695,44.7
71,20.1666666666667,46.3633333333333,19.5,44.7
72,20.1,46.3633333333333,19.5,44.79
73,20.1,46.5,19.426666666666698,44.73
74,20.033333333333296,46.36,19.39,44.73
75,20.0,46.29,19.39,44.79
76,20.0,46.29,19.39,44.79
77,20.0,46.23,19.39,44.79
78,19.926666666666698,46.23,19.29,44.9
79,19.89,46.23,19.29,44.925
80,19.89,46.43,19.29,45.0
81,19.89,46.6266666666667,19.29,45.1266666666667
82,19.89,46.7,19.218,45.2
83,19.89,46.8633333333333,19.2,45.245
84,19.823333333333295,46.8633333333333,19.2,45.3633333333333
85,19.856666666666698,46.93,19.2,45.4
86,19.79,46.79,19.2,45.326666666666696
87,19.79,46.895,19.175,45.195
88,19.79,47.4266666666667,19.1,45.03
89,19.79,48.366666666666696,19.1,45.0
90,19.79,48.6666666666667,19.1,45.0
91,19.79,48.5333333333333,19.066666666666695,45.06
92,19.89,50.0,19.0222222222222,45.0444444444444
93,19.89,48.7333333333333,19.1,45.2
94,19.89,48.0266666666667,19.033333333333296,45.1266666666667
95,19.89,47.633333333333304,19.0,45.09
96,19.856666666666698,47.063333333333304,19.0,45.03
97,19.79,46.6566666666667,19.0,44.9666666666667
98,19.79,46.3333333333333,19.0,44.826666666666696
99,19.79,46.0666666666667,19.0,44.645
100,19.76,45.8633333333333,18.963333333333296,44.56
101,19.7,45.79,18.963333333333296,44.4333333333333
102,19.7,45.6633333333333,18.89,44.29
103,19.7,45.59,18.89,44.23
104,19.73,47.7933333333333,18.926666666666698,44.23
105,19.79,48.7933333333333,19.0,44.3633333333333
106,19.89,47.94,19.033333333333296,44.5666666666667
107,19.89,47.16,19.033333333333296,44.5666666666667
108,19.89,46.7666666666667,19.033333333333296,44.5
109,20.0,46.296666666666695,19.1,44.5
110,20.0,45.9633333333333,19.1,44.4666666666667
111,20.0,46.2233333333333,19.1,44.4
112,20.0,45.9633333333333,19.1,44.29
113,20.0,45.7233333333333,19.15,44.245
114,20.0,45.6633333333333,19.2,44.2
115,20.033333333333296,45.5,19.2,44.1266666666667
116,20.1,45.6933333333333,19.2,43.9
117,20.1,45.4,19.2,43.9
118,20.1,45.326666666666696,19.2,43.856
119,20.1,45.326666666666696,19.2,43.7
120,20.1666666666667,46.993333333333304,19.2,43.76
121,20.1,46.43,19.1,43.8175
122,20.1,46.03,19.1,43.838125
123,20.066666666666695,45.3633333333333,19.1,43.745
124,20.0,44.9633333333333,19.1,43.5955555555556
125,20.0,44.76,19.1,43.4888888888889
126,20.0,44.595,19.1,43.425
127,20.0,44.4333333333333,19.1,43.334
128,20.0,44.26,19.1,43.29
129,20.0,44.2,19.1,43.29
130,20.0,44.06,19.033333333333296,43.23
131,20.0,44.06,19.0,43.2
132,20.0,44.09,19.0,43.1266666666667
133,20.0,44.03,19.0,43.09
134,19.963333333333296,43.9,18.926666666666698,43.09
135,19.963333333333296,43.9,19.033333333333296,43.06
136,20.0,43.8633333333333,19.1,43.0
137,20.066666666666695,43.8633333333333,19.1333333333333,42.863333333333294
138,20.1,43.79,19.2,42.715
139,20.1,43.73,19.1363636363636,42.65
140,20.1,43.56,19.13,42.59
141,20.1,43.4333333333333,19.1,42.59
142,20.1,43.1633333333333,19.0375,42.53375
143,20.1,43.03,19.007692307692295,42.43
144,20.066666666666695,42.8333333333333,19.0,42.41818181818179
145,20.0,42.6725,19.0,42.433333333333294
146,20.0,42.53,18.99,42.47181818181821
147,20.033333333333296,43.4966666666667,18.9022222222222,42.58
148,20.033333333333296,42.9633333333333,18.89,42.56
149,20.0,43.16,18.89,42.7966666666667
150,20.0,43.9,18.856666666666698,43.4
151,20.0,43.7,18.856666666666698,43.4666666666667
152,20.0,43.76,18.926666666666698,43.3633333333333
153,20.033333333333296,44.0,19.0,43.29
154,20.1,44.26,19.2,43.29
155,20.1,44.2,19.245,43.245
156,20.1,44.1266666666667,19.29,43.095
157,20.1,44.06,19.37,42.92
158,20.1,44.0,19.39,42.9
159,20.1,43.9,19.39,42.76
160,20.1,43.826666666666696,19.39,42.7
161,20.033333333333296,43.73,19.39,42.6633333333333
162,20.1,43.73,19.39,42.53
163,20.066666666666695,43.49,19.356666666666698,42.5
164,20.0,43.29,19.29,42.433333333333294
165,20.0,43.145,19.29,42.45
166,20.0,43.06,19.26,42.4666666666667
167,19.926666666666698,43.0,19.2,42.4
168,19.89,42.863333333333294,19.2,42.3266666666667
169,19.89,42.79,19.2,42.3266666666667
170,19.89,42.7,19.1,42.363333333333294
171,19.823333333333295,42.6266666666667,19.1,42.29
172,19.79,42.59,19.044444444444398,42.24
173,19.79,42.723333333333294,19.0,42.0563636363636
174,19.76,42.76,19.0,41.88666666666669
175,19.7,42.7,19.0,41.988333333333294
176,19.7,42.7,19.0,42.064285714285695
177,19.6333333333333,42.6266666666667,18.910625,42.2525
178,19.6666666666667,43.0,18.89,42.410625
179,19.6,43.0,18.89,42.5
180,19.6,43.0,18.89,42.645
181,19.533333333333296,43.0,18.8081818181818,42.7
182,19.5,43.09,18.79,42.75625
183,19.5,43.09,18.79,42.8616666666667
184,19.5,43.145,18.79,43.0
185,19.5,43.2,18.775,43.045
186,19.426666666666698,43.2,18.7,43.09
187,19.39,43.2,18.7,43.2
188,19.39,43.26,18.7,43.26
189,19.39,43.29,18.690909090909095,43.31
190,19.39,43.3633333333333,18.677777777777802,43.3977777777778
191,19.39,43.4,18.6428571428571,43.428571428571395
192,19.323333333333295,43.4666666666667,18.6,43.46
193,19.29,43.5,18.6,43.5
194,19.29,43.56,18.6,43.56
195,19.29,43.59,18.588888888888896,43.59
196,19.29,43.59,18.5,43.59
197,19.29,43.7,18.5,43.6358333333333
198,19.29,43.76,18.5,43.68625
199,19.2,43.7,18.5,43.7
200,19.2,43.76,18.5,43.775
201,19.2,43.79,18.5,43.845
202,19.2,43.8633333333333,18.5,43.9
203,19.2,43.9,18.4830769230769,43.86192307692309
204,19.1,43.9333333333333,18.493888888888897,43.79
205,19.1,44.0,18.4205555555556,43.8083333333333
206,19.1,44.0,18.396111111111104,43.796111111111095
207,19.1,44.0,18.39,43.79
208,19.1,44.09,18.39,43.79
209,19.1,44.09,18.3718181818182,43.84
210,19.033333333333296,44.03,18.307647058823495,43.9
211,19.033333333333296,44.09,18.342941176470603,43.9
212,19.0,44.09,18.34,43.9166666666667
213,19.0,44.09,18.29,43.9055555555556
214,19.0,44.09,18.29,43.9
215,19.0,44.1633333333333,18.29,43.938888888888904
216,18.963333333333296,44.2,18.273125,43.98125
217,18.89,44.2,18.29,44.0
218,18.89,44.2,18.245,44.0
219,18.89,44.2,18.2,44.0
220,18.89,44.23,18.2,44.0
221,18.89,44.29,18.2,44.0
222,18.89,44.29,18.2,44.0
223,18.865,44.365,18.2,44.0
224,18.79,44.7233333333333,18.2,44.0666666666667
225,18.89,45.03,18.2,44.29375
226,18.89,45.09,18.1727272727273,44.4163636363636
227,18.89,45.0,18.181818181818198,44.540909090909096
228,18.89,45.0,18.15,44.59
229,18.79,44.633333333333304,18.1,44.1966666666667
230,18.79,44.5,18.1,43.9666666666667
231,18.79,44.59,18.05,43.845
232,18.79,44.53,18.1,43.8175
233,18.79,44.3633333333333,18.1,43.79
234,18.79,44.23,18.0,43.645
235,18.79,44.06,18.0,43.7
236,18.79,43.9333333333333,18.0,43.45
237,18.79,43.9,18.0,43.3633333333333
238,18.79,43.9,18.0,43.3633333333333
239,18.79,44.0,18.0,43.4
240,18.856666666666698,44.06,18.066666666666695,43.4666666666667
241,18.89,44.23,18.1333333333333,43.59
242,18.9975,44.3975,18.26,43.6633333333333
243,19.1,44.5,18.323333333333295,43.5
244,19.1333333333333,44.5,18.463333333333296,43.5
245,19.2,44.36,18.533333333333296,43.43
246,19.2,44.06,18.6,43.23
247,19.2,44.06,18.6,43.1566666666667
248,19.2,44.09,18.6666666666667,43.43
249,19.2,44.1633333333333,18.7,43.93
250,19.23,44.39,18.76,43.8633333333333
251,19.29,44.796666666666695,18.79,44.0
252,19.29,45.1633333333333,18.79,44.0
253,19.23,45.03,18.7,43.145
254,19.29,45.7333333333333,18.7,43.06
255,19.29,45.1266666666667,18.7,43.0
256,19.2,44.8333333333333,18.7,43.06
257,19.2,44.7,18.6333333333333,42.933333333333294
258,19.2,44.9,18.6,42.8333333333333
259,19.2,44.6933333333333,18.6,42.1666666666667
260,19.2,43.6,18.5,41.79
261,19.2,43.12,18.5,41.73
262,19.1333333333333,42.7666666666667,18.5,41.6633333333333
263,19.1666666666667,42.4666666666667,18.5,41.53
264,19.1,42.2666666666667,18.5,41.363333333333294
265,19.1,42.09,18.5,41.29
266,19.1,41.963333333333296,18.463333333333296,41.1633333333333
267,19.066666666666695,41.76,18.39,41.03
268,19.0,41.6266666666667,18.39,40.9
269,19.0,41.56,18.39,40.8266666666667
270,19.0,41.433333333333294,18.39,40.7
271,19.0,41.29,18.39,40.6266666666667
272,19.0,41.29,18.39,40.495
273,19.0,41.2,18.39,40.4
274,19.0,41.1266666666667,18.39,40.3266666666667
275,19.033333333333296,41.1266666666667,18.426666666666698,40.2
276,19.1,41.1266666666667,18.5,40.1266666666667
277,19.1333333333333,41.0,18.5,40.06
278,19.2,40.933333333333294,18.5,40.0
279,19.2,40.76,18.6333333333333,39.9
280,19.2675,40.745,18.7,39.8266666666667
281,19.29,40.56666666666669,18.73,39.56
282,19.39,40.53,18.79,39.5
283,19.39,40.59,18.79,39.6266666666667
284,19.39,40.6266666666667,18.79,39.7
285,19.39,40.7,18.79,39.7
286,19.323333333333295,40.73,18.79,39.76
287,19.39,40.863333333333294,18.7,39.79
288,19.356666666666698,40.79,18.7,39.73
289,19.29,40.73,18.7,39.76
290,19.29,40.6633333333333,18.7,39.7
291,19.29,40.6633333333333,18.7,39.7
292,19.29,40.79,18.7,39.7
293,19.29,40.73,18.7,39.76
294,19.29,40.79,18.7,39.8266666666667
