timestamp,T4,RH_4,T5,RH_5,T6,RH_6,T7
1,19.0,45.5666666666667,17.1666666666667,55.2,7.026666666666671,84.2566666666667,17.2
2,19.0,45.9925,17.1666666666667,55.2,6.8333333333333295,84.0633333333333,17.2
3,18.926666666666698,45.89,17.1666666666667,55.09,6.56,83.1566666666667,17.2
4,18.89,45.7233333333333,17.1666666666667,55.09,6.43333333333333,83.4233333333333,17.1333333333333
5,18.89,45.53,17.2,55.09,6.366666666666671,84.8933333333333,17.2
6,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333
7,18.89,45.79,17.1,54.9666666666667,6.263333333333329,86.09,17.1333333333333
8,18.89,45.8633333333333,17.1,54.9,6.19,86.4233333333333,17.1
9,18.89,45.79,17.1666666666667,55.0,6.1233333333333295,87.2266666666667,17.1666666666667
10,18.89,46.0966666666667,17.1,55.0,6.19,87.6266666666667,17.2
11,18.89,46.43,17.1,55.0,6.19,87.8666666666667,17.2475
12,19.0,46.43,17.1,55.0,6.1233333333333295,87.9933333333333,17.53
13,19.0,46.3633333333333,17.1,55.09,6.1233333333333295,88.59,17.823333333333302
14,19.0,47.2233333333333,17.1,55.1633333333333,6.0675,88.215,17.963333333333303
15,19.0,48.6966666666667,17.1,55.5,5.9,88.1566666666667,17.963333333333303
16,19.0,48.49,17.15,56.0425,5.8,88.3666666666667,17.89
17,18.926666666666698,48.1566666666667,17.1666666666667,56.49,5.72666666666667,88.15999999999998,17.760000000000005
18,18.89,47.9633333333333,17.2,56.9333333333333,5.526666666666669,87.29999999999998,17.7
19,18.963333333333296,48.63,17.2,57.06,5.3333333333333295,86.76,17.6666666666667
20,19.033333333333296,49.5,17.5933333333333,70.7266666666667,5.3333333333333295,87.4633333333333,17.6
21,19.175,49.9475,18.066666666666695,79.0,5.46666666666667,87.53,17.6
22,19.26,49.6966666666667,17.6666666666667,79.73,5.5,86.9566666666667,17.533333333333303
23,19.323333333333295,49.1666666666667,17.6,79.2566666666667,5.56,86.5633333333333,17.6333333333333
24,19.39,48.4266666666667,17.5666666666667,78.3933333333333,5.6233333333333295,86.33,17.760000000000005
25,19.39,48.1933333333333,17.760000000000005,82.45999999999998,5.763333333333329,86.0633333333333,17.856666666666698
26,19.39,47.8,18.356666666666698,82.59,5.656666666666669,85.59,17.79
27,19.39,47.56,18.356666666666698,70.99,5.53,85.73,17.89
28,19.39,47.5,18.6,62.43,5.43333333333333,86.32666666666668,17.89
29,19.426666666666698,47.993333333333304,18.6666666666667,59.03,5.5,86.59999999999998,17.89
30,19.566666666666695,48.4666666666667,18.823333333333295,56.726666666666695,5.59,86.46666666666668,17.864999999999995
31,19.6666666666667,48.0933333333333,18.963333333333296,55.3333333333333,5.59,86.325,17.79
32,19.6,47.5,19.033333333333296,54.0933333333333,5.656666666666669,86.2266666666667,17.79
33,19.696666666666697,47.6266666666667,19.1,53.366666666666696,5.8333333333333295,85.7666666666667,17.79
34,20.0966666666667,47.5666666666667,19.158333333333296,52.4725,5.9,85.0333333333333,17.79
35,20.5966666666667,47.2233333333333,19.2,51.99,6.0,84.1266666666667,17.79
36,20.9966666666667,47.03,19.2225,51.52,6.0,84.06,17.7
37,21.1666666666667,46.5266666666667,19.29,51.23,5.96666666666667,84.79,17.7
38,21.033333333333296,46.4,19.29,51.06,5.9,85.5966666666667,17.7
39,20.963333333333296,46.4333333333333,19.29,50.9333333333333,5.763333333333329,86.26,17.7
40,20.865,46.5675,19.29,50.8633333333333,5.6233333333333295,86.5933333333333,17.7
41,20.73,46.59,19.29,50.79,5.59,87.49666666666668,17.7
42,20.7,46.79,19.2,50.6633333333333,5.59,87.8966666666667,17.7
