epoch,training_loss,val_loss
0,0.027309300377964973,0.0950506404042244
1,0.009661931544542313,0.09463534504175186
2,0.0067381178960204124,0.10693781822919846
3,0.005594829097390175,0.09343984723091125
4,0.004511456936597824,0.09320834279060364
5,0.004025144502520561,0.09096086025238037
6,0.0036361520178616047,0.0894923210144043
7,0.003481815801933408,0.09488122910261154
8,0.0038969104643911123,0.09052339941263199
9,0.0029817610047757626,0.0911041647195816
10,0.0027686802204698324,0.09049127250909805
11,0.0026346896775066853,0.09044773131608963
12,0.002565414644777775,0.09237759560346603
13,0.0024649722035974264,0.08945751935243607
14,0.0023438436910510063,0.09103680402040482
